GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,step,s_step
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,105,0.000485
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,106,0.000492
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,107,0.000485
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,108,0.000487
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,109,0.000488
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,110,0.000484
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,111,0.000485
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,112,0.000484
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,113,0.000482
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,114,0.000493
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,115,0.000486
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,116,0.000484
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,117,0.000487
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,118,0.000485
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,119,0.000485
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,120,0.000487
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,121,0.000492
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,122,0.000486
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,123,0.000486
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,124,0.000486
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,125,0.000487
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,126,0.000486
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,127,0.000486
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,128,0.000488
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,129,0.000488
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,130,0.000488
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,131,0.000487
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,132,0.000488
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,133,0.000489
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,134,0.000489
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,135,0.000494
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,136,0.000489
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,137,0.000492
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,138,0.000489
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,139,0.000490
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,140,0.000487
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,141,0.000490
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,142,0.000492
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,143,0.000493
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,144,0.000489
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,145,0.000493
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,146,0.000495
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,147,0.000499
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,148,0.000504
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,149,0.000502
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,150,0.000503
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,151,0.000502
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,152,0.000495
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,153,0.000494
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,154,0.000500
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,155,0.000500
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,156,0.000501
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,157,0.000499
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,158,0.000498
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,159,0.000498
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,0,1.000000,160,0.000498
