GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,111,1.000000,0.000457,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,112,1.000000,0.000467,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,113,1.000000,0.000457,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,114,1.000000,0.000470,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,115,1.000000,0.000470,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,116,1.000000,0.000471,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,117,1.000000,0.000461,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,118,1.000000,0.000478,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,119,1.000000,0.000467,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,120,1.000000,0.000503,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,121,1.000000,0.000462,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,122,1.000000,0.000473,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,123,1.000000,0.000463,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,124,1.000000,0.000473,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,125,1.000000,0.000473,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,126,1.000000,0.000474,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,127,1.000000,0.000464,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,128,1.000000,0.000474,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,129,1.000000,0.000465,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,130,1.000000,0.000496,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,131,1.000000,0.000466,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,132,1.000000,0.000477,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,133,1.000000,0.000467,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,134,1.000000,0.000478,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,135,1.000000,0.000480,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,136,1.000000,0.000479,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,137,1.000000,0.000470,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,138,1.000000,0.000481,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,139,1.000000,0.000471,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,140,1.000000,0.000510,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,141,1.000000,0.000469,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,142,1.000000,0.000483,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,143,1.000000,0.000470,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,144,1.000000,0.000481,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,145,1.000000,0.000487,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,146,1.000000,0.000483,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,147,1.000000,0.000471,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,148,1.000000,0.000482,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,149,1.000000,0.000473,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,150,1.000000,0.000519,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,151,1.000000,0.000473,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,152,1.000000,0.000482,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,153,1.000000,0.000472,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,154,1.000000,0.000482,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,155,1.000000,0.000485,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,156,1.000000,0.000485,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,157,1.000000,0.000475,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,158,1.000000,0.000485,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,159,1.000000,0.000476,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,160,1.000000,0.000516,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,161,1.000000,0.000474,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,162,1.000000,0.000486,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,163,1.000000,0.000477,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,164,1.000000,0.000488,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,165,1.000000,0.000489,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,166,1.000000,0.000489,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,167,1.000000,0.000479,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,168,1.000000,0.000491,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,169,1.000000,0.000482,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,170,1.000000,0.000511,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,171,1.000000,0.000481,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,172,1.000000,0.000492,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,173,1.000000,0.000481,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,174,1.000000,0.000492,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,175,1.000000,0.000495,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,176,1.000000,0.000495,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,177,1.000000,0.000487,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,178,1.000000,0.000497,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,179,1.000000,0.000487,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,180,1.000000,0.000528,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,181,1.000000,0.000484,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,182,1.000000,0.000495,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,183,1.000000,0.000485,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,184,1.000000,0.000497,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,185,1.000000,0.000499,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,186,1.000000,0.000496,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,187,1.000000,0.000483,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,188,1.000000,0.000493,64000.000000,5.000000
